iter	Passed	Remaining
0	0	134
1	1	116
2	1	105
3	2	105
4	2	103
5	3	103
6	3	99
7	4	96
8	4	96
9	5	95
10	5	92
11	5	90
12	6	89
13	6	88
14	7	87
15	7	86
16	7	85
17	8	84
18	8	83
19	9	82
20	9	82
21	10	82
22	10	81
23	10	80
24	11	79
25	11	79
26	12	78
27	12	78
28	13	77
29	13	77
30	14	76
31	14	76
32	14	75
33	15	75
34	15	74
35	16	74
36	16	73
37	17	73
38	17	73
39	18	73
40	18	72
41	19	72
42	19	72
43	20	72
44	20	71
45	21	71
46	21	70
47	22	70
48	22	70
49	23	70
50	24	70
51	24	69
52	25	69
53	25	69
54	26	68
55	26	69
56	27	68
57	28	68
58	28	68
59	29	67
60	29	67
61	30	66
62	30	66
63	30	65
64	31	65
65	31	64
66	32	64
67	32	63
68	33	63
69	33	62
70	34	62
71	34	61
72	35	61
73	35	61
74	36	60
75	36	59
76	37	59
77	37	58
78	38	58
79	38	58
80	39	57
81	39	57
82	40	56
83	40	56
84	41	55
85	41	55
86	42	54
87	42	54
88	43	53
89	43	53
90	44	52
91	44	52
92	44	51
93	45	51
94	45	50
95	46	50
96	46	49
97	47	49
98	47	48
99	48	48
100	48	47
101	48	47
102	49	46
103	49	46
104	50	45
105	51	45
106	51	44
107	52	44
108	52	44
109	53	43
110	54	43
111	54	42
112	55	42
113	55	41
114	56	41
115	56	41
116	57	40
117	57	40
118	58	39
119	58	39
120	59	38
121	59	38
122	60	37
123	60	37
124	61	36
125	61	36
126	62	35
127	62	35
128	63	34
129	63	34
130	64	33
131	64	33
132	65	32
133	65	32
134	66	31
135	66	31
136	67	30
137	67	30
138	68	30
139	68	29
140	69	29
141	69	28
142	70	28
143	70	27
144	71	27
145	71	26
146	72	25
147	72	25
148	73	25
149	73	24
150	73	24
151	74	23
152	75	23
153	75	22
154	76	22
155	76	21
156	77	21
157	77	20
158	77	20
159	78	19
160	79	19
161	79	18
162	80	18
163	80	17
164	81	17
165	81	16
166	82	16
167	82	15
168	83	15
169	83	14
170	84	14
171	84	13
172	85	13
173	85	12
174	86	12
175	86	11
176	87	11
177	87	10
178	88	10
179	88	9
180	89	9
181	89	8
182	90	8
183	90	7
184	91	7
185	91	6
186	92	6
187	92	5
188	93	5
189	93	4
190	94	4
191	94	3
192	95	3
193	95	2
194	96	2
195	96	1
196	97	1
197	97	0
198	98	0
199	98	0
